Jordan,JOR,..,..,17469,28380,..,47317,53295,58931,..,..,
Kazakhstan,KAZ,..,42925,12996,7329,3196,..,5232,3861,4101,3139,
Kenya,KEN,..,925554,387175,544621,525629,..,..,542666,..,..,
"Korea, Dem. People’s Rep.",PRK,..,..,..,..,24332,..,..,..,..,..,
"Korea, Rep.",KOR,..,9854,8539,7609,11467,11092,10810,12164,49449,..,
Kuwait,KWT,..,3356,1658,3423,..,4720,2854,3733,3602,2391,
Kyrgyz Republic,KGZ,..,18347,11571,12629,14323,12273,12519,4689,2354,3256,
Lao PDR,LAO,..,83046,50407,41605,34119,16313,18571,19360,13965,15673,
Latvia,LVA,..,..,..,1863,1343,1536,1459,1163,1117,1912,
Lebanon,LBN,..,..,16265,14164,10299,7260,7029,15100,19407,..,
Lesotho,LSO,59766,41103,48882,46870,45699,40595,36701,34091,37695,36174,
Liberia,LBR,..,..,..,164817,179817,..,194426,..,..,222044,
Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,29,
Lithuania,LTU,..,2262,3052,685,533,485,1106,948,215,495,
Luxembourg,LUX,..,659,373,531,..,1029,1193,903,1063,..,
"Macao SAR, China",MAC,2399,..,..,..,..,..,..,..,..,..,
"Macedonia, FYR",MKD,..,1208,4968,7324,6373,4049,..,7069,..,..,
Madagascar,MDG,258220,389529,..,..,..,..,..,..,..,..,
Malawi,MWI,..,..,113693,..,..,..,..,..,..,..,
Maldives,MDV,..,952,829,1808,612,..,..,..,..,..,
Mali,MLI,..,..,390944,..,333120,335977,338782,384049,..,476301,
Malta,MLT,511,..,..,..,..,..,754,637,393,118,
Mauritania,MRT,..,85785,70615,82584,85644,86763,88206,94913,86599,81624,
Mauritius,MUS,2140,4520,2413,2203,2378,2627,2538,3936,2603,2338,
Mexico,MEX,..,132765,391256,392898,351796,294952,244256,203797,215078,212025,
"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,1071,
Moldova,MDA,..,8873,8404,7475,7552,7708,6917,7138,7182,7601,
Mongolia,MNG,..,10439,2866,1839,3606,1928,1478,1944,4460,4475,
Montenegro,MNE,..,..,753,949,..,..,1717,1260,..,..,
Morocco,MAR,563642,405001,176606,157251,154935,81561,42731,35020,18617,17183,
Mozambique,MOZ,..,674712,348404,289756,281183,251849,316421,316330,292447,282182,
Myanmar,MMR,..,225363,429767,268155,293707,313393,..,..,..,..,
Namibia,NAM,31908,23013,27259,28012,28340,28604,..,24682,20727,..,
Nauru,NRU,..,..,..,..,..,..,..,166,..,85,
Nepal,NPL,..,315185,..,..,..,..,12474,..,..,78173,
Netherlands,NLD,27805,67,..,..,..,..,..,..,..,..,
New Zealand,NZL,..,2298,742,547,1202,1229,2351,3400,3355,2566,
Nicaragua,NIC,125316,63065,11474,..,..,10869,..,..,..,..,
Niger,NER,467511,609493,596522,586644,564599,533782,486816,491695,521174,553081,
Nigeria,NGA,..,2834247,2553385,3575599,3585288,3758616,..,..,..,..,
Norway,NOR,409,838,1978,1696,2112,2413,1746,1062,200,197,
Oman,OMN,46610,27331,..,..,730,..,4989,2917,2607,2901,
Pakistan,PAK,..,..,2314618,2270772,2158957,1998710,2351961,2471386,2649285,2311760,
Panama,PAN,24223,8810,1593,2587,7850,2621,4519,4418,6439,..,
Papua New Guinea,PNG,..,..,..,..,..,..,..,61559,..,..,
Paraguay,PRY,20566,10243,34777,40218,44207,41986,41538,42950,..,..,
Peru,PER,..,..,35744,39146,35547,35782,34788,121881,76693,89339,
Philippines,PHL,33125,..,868426,800712,669401,..,..,..,331533,..,
Poland,POL,..,70316,64197,57533,45918,38716,38007,33432,32383,..,
Portugal,PRT,..,..,..,..,2495,2098,3041,2860,3457,3492,
Puerto Rico,PRI,..,..,..,..,..,24516,28877,27384,25703,..,
Qatar,QAT,3512,2576,2133,..,1995,3614,458,..,..,..,
Romania,ROM,..,49625,22005,24010,24948,27571,30933,35545,..,..,
Russian Federation,RUS,..,..,189897,149932,116232,..,88814,91618,88993,132641,
Rwanda,RWA,..,..,..,..,..,..,..,..,44784,..,
Samoa,WSM,..,1496,..,..,..,510,868,750,..,518,
San Marino,SMR,..,..,..,..,79,..,..,62,..,..,
Sao Tome and Principe,STP,..,..,1081,922,970,863,..,..,842,657,
Saudi Arabia,SAU,..,..,..,..,243841,166554,166341,132433,46856,36164,
Senegal,SEN,309361,316011,304332,311785,323340,330536,340874,327667,..,355723,
Serbia,SRB,..,..,2420,2832,5199,8034,4385,5957,5855,2423,
Seychelles,SYC,..,416,..,..,..,..,..,..,..,253,
Sierra Leone,SLE,..,..,..,..,..,..,..,121,..,..,
Slovenia,SVN,..,2561,990,1023,1244,1483,1755,1512,1729,1558,
Solomon Islands,SLB,..,..,7171,..,..,..,..,..,..,..,
South Africa,ZAF,..,398569,..,..,..,..,..,..,..,..,
South Sudan,SSD,..,..,..,..,..,..,457784,..,..,..,
Spain,ESP,10327,4159,1127,2725,6173,8075,6539,7042,10000,17156,
Sri Lanka,LKA,..,..,27483,34130,51526,35925,33362,31969,22153,15796,
St. Kitts and Nevis,KNA,..,..,362,611,302,481,471,587,649,679,
St. Lucia,LCA,155,904,502,..,..,..,..,..,..,..,
St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,226,..,178,550,
Sudan,SDN,..,..,..,..,..,..,1378414,1413736,..,..,
Suriname,SUR,..,..,3610,2280,1599,..,1012,..,4814,2676,
Swaziland,SWZ,24533,32169,17115,..,..,..,..,..,22510,..,
Sweden,SWE,1382,973,11332,3686,1102,882,872,930,1213,1262,
Switzerland,CHE,38681,2812,6241,4344,2959,2711,2456,2759,1452,1392,
Syrian Arab Republic,SYR,11717,..,2619,2427,2389,..,..,..,280507,..,
Tajikistan,TJK,..,8440,6853,2132,1948,1795,1676,2155,3946,9159,7525
Tanzania,TZA,1196393,1548489,..,153151,..,479353,..,706261,874055,..,
Thailand,THA,..,..,136864,114588,85568,..,..,..,..,183804,
Timor-Leste,TMP,..,..,..,21010,10995,2822,363,2252,1996,3385,
Togo,TGO,76014,..,18771,14663,..,..,..,..,..,21243,
Tonga,TON,682,..,..,..,..,..,..,..,425,116,
Trinidad and Tobago,TTO,11833,1677,1538,1106,94,590,..,..,..,..,
Tunisia,TUN,6061,20937,10947,8140,5137,..,..,..,..,..,
Turkey,TUR,,,..,29038,118813,99327,132696,188111,167248,..,
Tuvalu,TUV,,,..,..,..,..,..,..,..,40,
Uganda,UGA,,,..,..,260177,385057,294884,..,296808,..,
Ukraine,UKR,,,98540,93513,78017,45524,16309,..,..,37490,
United Arab Emirates,ARE,,,9170,..,18322,14726,14027,12263,12333,7863,
United Kingdom,GBR,,,55213,19731,26972,12374,6117,2753,..,..,
United States,USA,273745,311872,424472,360553,612968,685895,844232,735957,887199,798266,
Uruguay,URY,..,..,3149,875,411,..,..,..,634,..,
Uzbekistan,UZB,..,..,25799,47492,55109,74891,71140,..,..,..,
"Venezuela, RB",VEN,..,226521,128318,160869,124275,110333,110427,87088,102096,126799,
West Bank and Gaza,WBG,..,18265,36653,31807,27542,23266,22450,16310,19081,16860,
"Yemen, Rep.",YEM,..,..,..,314596,..,211295,..,153298,159682,,
Zambia,ZMB,..,357221,113997,..,158932,198407,150596,139771,178008,,
Zimbabwe,ZWE,..,193262,..,..,..,..,..,153068,192036,,
