Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Children out of school, primary, female",SE.PRM.UNER.FE,Uzbekistan,UZB,..,..,38584,57326,67202,91492,91483,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Venezuela, RB",VEN,..,193177,111800,141427,111478,98313,98830,121854,132355,116395,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Vietnam,VNM,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,West Bank and Gaza,WBG,..,18342,34039,30161,26775,25526,22794,17446,15835,15989,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Yemen, Rep.",YEM,..,..,..,561850,..,492662,..,435504,423470,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Zambia,ZMB,..,369246,103029,..,125226,164998,117723,95905,147141,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Zimbabwe,ZWE,..,187415,..,..,..,..,..,130366,172963,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 11/17/2016,,,,,,,,,,,,,,,
